exp_name,svc_type,train_acc,test_acc
Count_NoNorm,LibLinear,0.8351467194197164,0.8195903902418923
Count_NoNorm,Poly,0.6873008022859655,0.6844686199365393
Count_NoNorm,RBF,0.7029618639410924,0.7006222441999423
TFIDF_NoNorm,LibLinear,0.9395537971205628,0.9309350146289199
TFIDF_NoNorm,Poly,0.985053302560721,0.969629538055796
TFIDF_NoNorm,RBF,0.9773876250137378,0.967692751473194
Count_Norm,LibLinear,0.8439388943839983,0.8277496188239173
Count_Norm,Poly,0.6932629959336191,0.6913916017637121
Count_Norm,RBF,0.7711836465545664,0.764948283677422
